Index,Titol,Valoracio,Data_critica,Gènere,Director,Interprets,Guio,Pais,Durada,Edat_recomanada,Distribuidora,Data_estrena
1095,Wonder Wheel (La noria de Coney Island),7,22-12-2017,Drama,Woody Allen,"Juno Temple, Justin Timberlake, Kate Winslet",Woody Allen,EE UU,101 min.,,A Contracorriente Films,22 de Diciembre de 2017
1096,Columbus,8,22-12-2017,Drama,Kogonada,"Haley Lu Richardson, John Cho, Parker Posey",Kogonada,EE UU,104 min.,,Versus Entertainment,22 de Diciembre de 2017
1097,Bright,6,22-12-2017,"Fantasía, Thriller",David Ayer,"Édgar Ramírez, Joel Edgerton, Noomi Rapace, Will Smith",,EE UU,117,,,22 de Diciembre de 2017
1098,Star Wars: Los últimos Jedi,9,15-12-2017,"Acción, Aventura, Fantasía",Rian Johnson,"Adam Driver, Daisy Ridley, Domhnall Gleeson, John Boyega, Mark Hamill","George Lucas, Rian Johnson",EE UU,152 min.,,Walt Disney,15 de Diciembre de 2017
1099,"Muchos hijos, un mono y un castillo",7,15-12-2017,"Comedia, Documental",Gustavo Salmerón,"Gustavo Salmerón, Julita Salmerón","Gustavo Salmerón, Raúl de Torres",España,90 min.,,Caramel Films,15 de Diciembre de 2017
1100,Alanis,7,15-12-2017,Drama,Anahí Berneri,"Dante Della Paolera, Santiago Pedrero, Sofía Gala","Anahí Berneri, Javier Van De Couter",Argentina,82 min.,,Golem Distribución,15 de Diciembre de 2017
1101,La herida,8,15-12-2017,"Drama, Romance",John Trengove,"Bongile Mantsai, Nakhane Touré, Niza Jay","John Trengove, Malusi Bengu, Thando Mgqolozana","Sudáfrica, Alemania, Holanda, Francia",88 min.,,Surtsey Films,15 de Diciembre de 2017
1102,Se armó el Belén,2,15-12-2017,"Animación, Aventura, Comedia",Timothy Reckart,"Christopher Plummer, Gina Rodriguez, Steven Yeun","Carlos Kotkin, Simon Moore",EE UU,86 min.,,Sony Pictures,15 de Diciembre de 2017
1103,El sentido de un final,8,08-12-2017,"Drama, Misterio",Ritesh Batra,"Charlotte Rampling, Harriet Walter, Jim Broadbent",Nick Payne,Reino Unido,108 min.,,Vértigo Films,08 de Diciembre de 2017
1104,Llueven vacas,6,08-12-2017,Drama,Fran Arráez,"María Barranco, Maribel Verdú, Secun de la Rosa, Víctor Clavijo",Fran Arráez,España,75 min.,,Begin Again Films,08 de Diciembre de 2017
1105,El gran desmadre (Malas madres 2),5,08-12-2017,Comedia,"Jon Lucas, Scott Moore","Kathryn Hahn, Kristen Bell, mila kunis, Susan Sarandon","Jon Lucas, Scott Moore",EE UU,104 min.,,Diamond Films España,08 de Diciembre de 2017
1106,El vacío,6,08-12-2017,"Ciencia-ficción, Misterio, Terror","Jeremy Gillespie, Steven Kostanski","Aaron Poole, Daniel Fathers, Kenneth Welsh","Jeremy Gillespie, Steven Kostanski",Canadá,90 min.,,Segarra Films,08 de Diciembre de 2017
1107,En la playa sola de noche,10,08-12-2017,Drama,Sang-soo Hong,"Jae-yeong Jeong, Min-hee Kim, Young-hwa Seo",Sang-soo Hong,Corea del Sur,101 min,,La Aventura Audiovisual,08 de Diciembre de 2017
1108,Suburbicon,4,07-12-2017,"Comedia, Drama, Misterio",George Clooney,"Julianne Moore, Matt Damon, Oscar Isaac","George Clooney, Grant Heslov",EE UU,105 min.,,DeaPlaneta,07 de Diciembre de 2017
1109,Corazón puro,7,07-12-2017,Drama,Roberto De Paolis,"Barbora Bobulova, Selene Caramazza, Simone Liberati","Carlo Salsa, Greta Scicchitano, Luca Infascelli, Roberto De Paolis",Italia,115 min.,,Noucinemart,07 de Diciembre de 2017
1110,Fe de etarras,7,07-12-2017,Comedia,Borja Cobeaga,"Gorka Otxoa, Javier Cámara, Julián López, Miren Ibarguren, Ramón Barea","Borja Cobeaga, Diego San José",España,89 min.,,Netflix,07 de Diciembre de 2017
1111,Kékszakállú,8,07-12-2017,Drama,Gastón Solnicki,"Katia Szechtman, Laila Maltz, Lara Tarlowski",,72 min.,Argentina,,Cine Binario,07 de Diciembre de 2017
1112,El viaje,5,06-12-2017,Drama,Nick Hamm,"Colm Meaney, John Hurt, Timothy Spall",Colin Bateman,Reino Unido,94 min.,,Vértice Cine,06 de Diciembre de 2017
1113,Cuento con usted,6,04-12-2017,"Comedia, Thriller",Pascal Elbé,"Anne Charrier, Grégoire Bonnet, Julie Gayet, Ludovik Day, Nicole Calfan, Patrice Abbou, Vincent Elbaz, Zabou Breitman",Pascal Elbé,Francia,98,,Plataformas VOD,04 de Diciembre de 2017
1114,Coco,8,01-12-2017,"Animación, Familia, Musical","Adrian Molina, Lee Unkrich",Gael García Bernal,"Adrian Molina, Jason Katz, Lee Unkrich, Matthew Aldrich",EE UU,109 min.,,Disney,01 de Diciembre de 2017
1115,El sacrificio de un ciervo sagrado,7,01-12-2017,"Drama, Misterio, Terror",Yorgos Lanthimos,"Alicia Silverstone, Barry Keoghan, Colin Farrell, nicole kidman","Efthymis Filippou, Yorgos Lanthimos","RU, Irlanda, EE UU",121 min.,,Diamond Films España,01 de Diciembre de 2017
1116,La vida y nada más,7,01-12-2017,Drama,Antonio Méndez Esparza,"Regina Williams, Robert Williams",Antonio Méndez Esparza,"EE UU, España",114 min.,,Wanda Vision,01 de Diciembre de 2017
1117,Perfectos desconocidos,7,01-12-2017,Comedia,Álex de la Iglesia,"Belén Rueda, Eduardo Noriega, Ernesto Alterio, Juana Acosta","Álex de la Iglesia, Jorge Guerricaechevarría",España,,,Universal Pictures,01 de Diciembre de 2017
1118,Wonder,7,01-12-2017,Drama,Stephen Chbosky,"Jacob Tremblay, Julia Roberts, Owen Wilson","Jack Thorne, Stephen Chbosky, Steve Conrad",EE UU,113 min.,,EOne Films,01 de Diciembre de 2017
1119,Grandeza y decadencia de un pequeño comercio de cine,10,01-12-2017,Crimen,Jean-Luc Godard,"Jean-Pierre Léaud, Jean-Pierre Mocky",,"Francia, Suiza",92 min.,,Capricci Cine Distribución,01 de Diciembre de 2017
1120,Asesinato en el Orient Express,6,24-11-2017,"Crimen, Drama, Misterio",kenneth branagh,"Daisy Ridley, Judi Dench, Kenneth Branagh, Penélope Cruz",Michael Green,"Malta, EE UU",114 min.,,Fox ,24 de Noviembre de 2017
1121,El fiel,2,24-11-2017,"Crimen, Drama",Michaël R. Roskam,"Adèle Exarchopoulos, Matthias Schoenaerts","Michaël R. Roskam, Noé Debré, Thomas Bidegain","Bélgica, Francia, Holanda",130 min.,,Vértigo Films,24 de Noviembre de 2017
1122,"En realidad, nunca estuviste aquí",9,24-11-2017,"Drama, Misterio, Thriller",Lynne Ramsay,"Alessandro Nivola, Ekaterina Samsonov, Joaquin Phoenix",Lynne Ramsay,"Reino Unido, Francia, EE UU",85 min.,,Caramel Films,24 de Noviembre de 2017
1123,Tierra firme,7,24-11-2017,"Comedia, Romance",Carlos Marques-Marcet,"David Verdaguer, Natalia Tena, Oona Chaplin","Carlos Marques-Marcet, Jules Nurrish",España,111 min.,,Avalon Distribución Audiovisual,24 de Noviembre de 2017
1124,Tierra de Dios,7,24-11-2017,"Drama, Romance",Francis Lee,"Gemma Jones, Harry Lister Smith, Josh O'Connor",Francis Lee,Reino Unido,104 min.,,Karma Films,24 de Noviembre de 2017
1125,Saw VIII,6,24-11-2017,"Crimen, Terror, Thriller","Michael Spierig, Peter Spierig","Callum Keith Rennie, Matt Passmore, Tobin Bell","Josh Stolberg, Pete Goldfinger",EE UU,92 min.,,DeaPlaneta,24 de Noviembre de 2017
1126,La higuera de los bastardos,6,24-11-2017,Comedia,Ana Murugarren,"Carlos Areces, karra elejalde, Ramón Barea",Ana Murugarren,España,111 min.,,Festival Films,24 de Noviembre de 2017
1127,6 días,6,24-11-2017,"Acción, Drama, Histórica",Toa Fraser,"Abbie Cornish, Jamie Bell, Mark Strong",Glenn Standring,"RU, Nueva Zelanda",94 min.,,A Contracorriente Films,24 de Noviembre de 2017
1128,Daguerrotipo,6,24-11-2017,"Drama, Fantasía, Terror",Kiyoshi Kurosawa,"Constance Rousseau, Olivier Gourmet, Tahar Rahim",Kiyoshi Kurosawa,"Francia, Bélgica, Japón",131 min.,,Plataformas VOD,24 de Noviembre de 2017
1129,De repente (Auf Einmal),8,24-11-2017,Drama,Asli Özge,"Hanns Zischler, Julia Jentsch, Sebastian Hülk",Asli Özge,"Alemania, Holanda",112 min.,,Plataformas VOD,24 de Noviembre de 2017
1130,Los Nadie,7,17-11-2017,Drama,Juan Sebastian Mesa,"Esteban Alcaraz, Maria Angélica Puerta, Maria Camila Castrillón",Juan Sebastian Mesa,Colombia,84 min.,,El Sur Films,17 de Noviembre de 2017
1131,Liga de la Justicia,4,17-11-2017,"Acción, Fantasía",Zack Snyder,"Amy Adams, Ben Affleck, Ezra Miller, Gal Gadot, Henry Cavill","Chris Terrio, Joss Whedon, Zack Snyder",EE UU,121 min.,,Warner Bros.,17 de Noviembre de 2017
1132,Con los brazos abiertos,6,17-11-2017,Comedia,Philippe de Chauveron,"Ary Abittan, Christian Clavier, Elsa Zylberstein","Guy Laurent, Marc de Chauveron",Francia,92 min.,,Alfa Pictures,17 de Noviembre de 2017
1133,Medidas extremas,7,17-11-2017,"Crimen, Drama, Thriller",Baltasar Kormákur,"Baltasar Kormákur, Hera Hilmar, Ingvar Eggert Sigurðsson","Baltasar Kormákur, Ólafur Egilsson",Islandia,103 min.,,A Contracorriente Films,17 de Noviembre de 2017
1134,El autor,8,17-11-2017,Drama,Manuel Martín Cuenca,"Antonio de la Torre, Javier Gutiérrez, María León",Manuel Martín Cuenca,España,112 min.,,Filmax,17 de Noviembre de 2017
1135,Hacia la luz,6,17-11-2017,"Drama, Romance",Naomi Kawase,"Ayame Misaki, Mantarô Koichi, Masatoshi Nagase, Tatsuya Fujiwara",Naomi Kawase,"Japón, Francia",101 min.,,BTeam Pictures,17 de Noviembre de 2017
1136,Los demás días,7,17-11-2017,Documental,Carlos Agulló,,Carlos Agulló,España,95 min.,,Super 8 Media,17 de Noviembre de 2017
1137,Una razón para vivir,6,17-11-2017,"Biografía, Drama, Romance",Andy Serkis,"Claire Forlani, Claire Foy, Hugh Bonneville",William Nicholson,Reino Unido,118 min.,,Diamond Films España,17 de Noviembre de 2017
1138,Spoor (El rastro),7,10-11-2017,"Crimen, Drama, Misterio",Agnieszka Holland,"Agnieszka Mandat-Grabka, Jakub Gierszal, Wiktor Zborowski","Agnieszka Holland, Olga Tokarczuk","Polonia, Alemania, Suecia, Rep. Checa, Eslovaquia",128 min.,,Festival Films,10 de Noviembre de 2017
1139,La librería,6,10-11-2017,Drama,Isabel Coixet,"Bill Nighy, Emily Mortimer, Patricia Clarkson",Isabel Coixet,"España, Reino Unido, Alemania",,,A Contracorriente Films,10 de Noviembre de 2017
1140,Feliz día de tu muerte,6,10-11-2017,"Terror, Thriller",Christopher Landon,"Israel Broussard, Jessica Rothe, Ruby Modine",Scott Lobdell,EE UU,96 min.,,Universal Pictures,10 de Noviembre de 2017
1141,La Chana,8,10-11-2017,Documental,Lucija Stojevi,,,"Islandia, España, EE UU",83 min.,,Noon Films,10 de Noviembre de 2017
1142,Musa,5,10-11-2017,Thriller,jaume balaguero,"Christopher Lloyd, Franka Potente, Leonor Watling","Fernando Navarro, jaume balaguero","España, Francia, Bélgica, Irlanda",,,Filmax,10 de Noviembre de 2017
1143,Oro,6,10-11-2017,"Aventura, Drama, Histórica",Agustín Díaz Yanes,"Bárbara Lennie, Jose Coronado, Óscar Jaenada, Raúl Arévalo",Agustín Díaz Yanes,España,,,Sony Pictures,10 de Noviembre de 2017
1144,The Square,8,10-11-2017,"Comedia, Drama",Ruben Östlund,"Claes Bang, Dominic West, Elisabeth Moss",Ruben Östlund,"Suecia, Alemania, Francia, Dinamarca",142 min.,,Avalon Distribución Audiovisual,10 de Noviembre de 2017
1145,Yo-Kai Watch: La película,6,10-11-2017,Animación,"Shigeharu Takahashi, Shinji Ushiro",,Yôichi Katô,"Japón, EE UU",97 min.,,Selecta Visión,10 de Noviembre de 2017
1146,Enganchados a la muerte,5,03-11-2017,"Ciencia-ficción, Drama, Terror",Niels Arden Oplev,"Diego Luna, Ellen Page, nina dobrev",Ben Ripley,EE UU,,,Sony Pictures España,03 de Noviembre de 2017
1147,American Assassin,5,03-11-2017,"Acción, Thriller",Michael Cuesta,"dylan o'brien, Michael Keaton, Taylor Kitsch","Edward Zwick, Marshall Herskovitz, Michael Finch, Stephen Schiff",EE UU,112 min.,,EOne Films Spain,03 de Noviembre de 2017
1148,Deep,6,03-11-2017,"Animación, Familia",Julio Soto Gurpide,,"Joe Vitale, Jose Tatay, Julio Soto Gurpide, Salvador Rubio","España, Bélgica, EE UU, China",92 min.,,Tripictures,03 de Noviembre de 2017
1149,El sistema solar,4,03-11-2017,Drama,"Bacha Caravedo, Chinón Higashionna","Adriana Ugarte, Gisela Ponce de León, Javier Valdés",Bacha Caravedo,"España, Perú",95 min.,,Filmax,03 de Noviembre de 2017
1150,La gran enfermedad del amor (The Big Sick),8,03-11-2017,"Comedia, Drama, Romance",Michael Showalter,"Holly Hunter, Kumail Nanjiani, Zoe Kazan","Emily V. Gordon, Kumail Nanjiani",EE UU,120 min.,,Caramel Films,03 de Noviembre de 2017
1151,Saura(s),7,03-11-2017,Documental,Félix Viscarret,"Anna Saura Ramón, Carlos Saura, Eulàlia Ramon",,España,85 min.,,Cada Films,03 de Noviembre de 2017
1152,The Crucifixion,4,03-11-2017,"Misterio, Terror, Thriller",Xavier Gens,"Brittany Ashworth, Corneliu Ulici, Sophie Cookson",Carey Hayes,EE UU,90 min.,,DeaPlaneta,03 de Noviembre de 2017
1153,La batalla de los sexos,8,03-11-2017,"Biografía, Comedia, Drama","Jonathan Dayton, Valerie Faris","Andrea Riseborough, Emma Stone, Steve Carell",Simon Beaufoy,EE UU,121 min.,,Fox ,03 de Noviembre de 2017
1154,A Ghost Story,6,03-11-2017,"Drama, Fantasía, Romance",David Lowery,"Casey Affleck, McColm Cephas Jr., Rooney Mara",David Lowery,EE UU,92 min.,,Universal Pictures,03 de Noviembre de 2017
1155,The Frankenstein Complex,8,03-11-2017,Documental,"Alexandre Poncet, Gilles Penso","Guillermo del Toro, Joe Dante, John Landis","Alexandre Poncet, Gilles Penso",Francia,107 min.,,Cine Binario,03 de Noviembre de 2017
1156,El secreto de Marrowbone,6,27-10-2017,"Drama, Terror, Thriller",Sergio G. Sánchez,"Anya Taylor-Joy, Charlie Heaton, George MacKay",Sergio G. Sánchez,España,110 min.,,Universal Pictures,27 de Octubre de 2017
1157,El tercer asesinato,6,27-10-2017,"Drama, Misterio",Hirokazu Koreeda,"Isao Hashizume, Kôji Yakusho, Masaharu Fukuyama",Hirokazu Koreeda,Japón,,,Golem Distribución,27 de Octubre de 2017
1158,En cuerpo y alma,8,27-10-2017,Drama,Ildikó Enyedi,"Alexandra Borbély, Géza Morcsányi, Zoltán Schneider",Ildikó Enyedi,Hungría,116 min.,,Karma Films,27 de Octubre de 2017
1159,"Jericó, el infinito vuelo de los días",6,27-10-2017,Documental,Catalina Mesa,"Cecilia Bohórquez, Celina Acevedo",Catalina Mesa,"Francia, Colombia",77 min.,,Compacto,27 de Octubre de 2017
1160,Nuestra vida en la Borgoña,6,27-10-2017,"Comedia, Drama",Cédric Klapisch,"Ana Girardot, María Valverde, Pio Marmaï","Cédric Klapisch, Jean-Marc Roulot, Santiago Amigorena",Francia,113 min.,,Avalon Distribución Audiovisual,27 de Octubre de 2017
1161,Thor: Ragnarok,7,27-10-2017,"Acción, Aventura, Ciencia-ficción",Taika Waititi,"benedict cumberbatch, Cate Blanchett, Chris Hemsworth, Tom Hiddleston","Christopher Yost, Craig Kyle, Eric Pearson",EE UU,,,Disney,27 de Octubre de 2017
1162,Los hermosos días de Aranjuez,4,27-10-2017,Drama,Wim Wenders,"Jens Harzer, Reda Kateb, Sophie Semin",Wim Wenders,"Francia, Alemania, Portugal",97 min.,,Paco Poch Cinema,27 de Octubre de 2017
1163,Creative Control,6,20-10-2017,"Ciencia-ficción, Drama",Benjamin Dickinson,"Benjamin Dickinson, Nora Zehetner","Benjamin Dickinson, Micah Bloomberg",EE UU,97 min.,,Festival Films,20 de Octubre de 2017
1164,Atraco en familia,4,20-10-2017,Comedia,Pascal Bourdiaux,"Camille Chamoux, Jean Reno, Natalia Verbeke, Reem Kherici","Carole Giacobbi, Fabien Suarez, Juliette Sales, Michèle Giacobbi",Francia,91 min.,,Selecta Visión,20 de Octubre de 2017
1165,Handia,7,20-10-2017,Drama,"Aitor Arregi, Jon Garaño","Iñigo Aranburu, Iñigo Azpitarte, Ramón Agirre","Aitor Arregi, Andoni de Carlos, Jon Garaño, José Mari Goenaga",España,,,A Contracorriente Films,20 de Octubre de 2017
1166,La piel fría,7,20-10-2017,"Suspense, Terror",Xavier Gens,"Aura Garrido, David Oakes, Ray Stevenson","Eron Sheean, Jesús Olmo","España, Francia",,,Diamond Films España,20 de Octubre de 2017
1167,Las hijas de Abril,8,20-10-2017,Drama,Michel Franco,"Ana Valeria Becerril, Emma Suárez, Enrique Arrizon",Michel Franco,México,103 min.,,Surtsey Films,20 de Octubre de 2017
1168,¡Lumière! Comienza la aventura,10,20-10-2017,Documental,Thierry Frémaux,"Martin Scorsese, Thierry Frémaux",Thierry Frémaux,Francia,90 min.,,Caramel Films,20 de Octubre de 2017
1169,Red de libertad,4,20-10-2017,Drama,Pablo Moreno,"Ainhoa Aldanondo, Assumpta Serna, Marian Arahuetes",Pablo Moreno,España,,,ProyecFilm,20 de Octubre de 2017
1170,Canción de Nueva York,6,13-10-2017,Drama,Marc Webb,"Callum Turner, Kate Beckinsale, Pierce Brosnan",Allan Loeb,EE UU,89 min.,,Avalon Distribución Audiovisual,13 de Octubre de 2017
1171,Solo se vive una vez,4,13-10-2017,"Acción, Comedia, Drama",Federico Cueva,"Gérard Depardieu, Hugo Silva, Peter Lanzani, Santiago Segura","Axel Kuschevatzky, Sergio Esquenazi","Argentina, España",90 min.,,A Contracorriente Films,13 de Octubre de 2017
1172,The Meyerowitz Stories (New and Selected),8,13-10-2017,"Comedia, Drama",Noah Baumbach,"Adam Sandler, Ben Stiller, Dustin Hoffman, Emma Thompson",Noah Baumbach,EE UU,112 min.,,Netflix,13 de Octubre de 2017
1173,Annabelle: Creation,6,12-10-2017,"Misterio, Terror, Thriller",David F. Sandberg,"Anthony LaPaglia, Miranda Otto, Samara Lee",Gary Dauberman,EE UU,109 min.,,Warner Bros.,12 de Octubre de 2017
1174,El castillo de cristal,7,12-10-2017,"Biografía, Drama",Destin Daniel Cretton,"Brie Larson, Naomi Watts, Woody Harrelson","Andrew Lanham, Destin Daniel Cretton",EE UU,127 min.,,EOne Films,12 de Octubre de 2017
1175,La suerte de los Logan,8,12-10-2017,"Crimen, Drama",Steven Soderbergh,"Adam Driver, Channing Tatum, Daniel Craig, Riley Keough",Rebecca Blunt,EE UU,118 min.,,DeaPlaneta,12 de Octubre de 2017
1176,Mal genio (Le Redoutable),5,12-10-2017,"Biografía, Comedia, Drama",Michel Hazanavicius,"Bérénice Bejo, Louis Garrel, Stacy Martin",Michel Hazanavicius,Francia,107 min.,,Vértigo Films,12 de Octubre de 2017
1177,Abrir puertas y ventanas,8,11-10-2017,Drama,Milagros Mumenthaler,"Ailín Salas, María Canale, Martina Juncadella",Milagros Mumenthaler,"Suiza, Argentina, Holanda",99 min.,,Numax Distribución,11 de Octubre de 2017
1178,Operación Cacahuete 2. Misión: Salvar el parque,4,11-10-2017,"Animación, Aventura, Comedia",Cal Brunker,,"Bob Barlen, Cal Brunker, Scott Bindley","Canadá, Corea del Sur, EE UU",91 min.,,Diamond Films España,11 de Octubre de 2017
1179,Una mujer fantástica,8,11-10-2017,Drama,Sebastián Lelio,"Daniela Vega, Francisco Reyes, Luis Gnecco","Gonzalo Maza, Sebastián Lelio","Chile, Alemania, España, EE UU",104 min.,,BTeam Pictures,11 de Octubre de 2017
1180,Blade Runner 2049,7,06-10-2017,"Ciencia-ficción, Drama",Denis Villeneuve,"Ana de Armas, Harrison Ford, Robin Wright, Ryan Gosling","Hampton Fancher, Michael Green","EE UU, Reino Unido, Canadá",,,Sony Pictures España,06 de Octubre de 2017
1181,El jardín de Jeannette,8,06-10-2017,Drama,Stéphane Brizé,"Jean-Pierre Darroussin, Judith Chemla, Yolande Moreau","Florence Vignon, Stéphane Brizé","Francia, Bélgica",119 min.,,Surtsey Films,06 de Octubre de 2017
1182,El último traje,6,06-10-2017,Drama,Pablo Solarz,"Ángela Molina, Miguel Angel Sola, Natalia Verbeke",Pablo Solarz,"Argentina, España",,,Syldavia Cinema,06 de Octubre de 2017
1183,La cabaña,3,06-10-2017,"Drama, Fantasía",Stuart Hazeldine,"Octavia Spencer, Radha Mitchell, Sam Worthington","Andrew Lanham, Destin Daniel Cretton, John Fusco",EE UU,132 min.,,EOne Films,06 de Octubre de 2017
1184,La montaña entre nosotros,3,06-10-2017,"Aventura, Drama, Romance",Hany Abu-Assad,"Dermot Mulroney, Idris Elba, Kate Winslet","Chris Weitz, J. Mills Goodloe",EE UU,103 min.,,,06 de Octubre de 2017
1185,Morir,6,06-10-2017,Drama,Fernando Franco,"Andrés Gertrúdix, Iñigo Aranburu, Marian Álvarez","Coral Cruz, Fernando Franco",España,,,Golem Distribución,06 de Octubre de 2017
1186,Toc Toc,8,06-10-2017,Comedia,Vicente Villanueva,"Adrián Lastra, Paco León, Rossy de Palma",Vicente Villanueva,España,,,Warner Bros.,06 de Octubre de 2017
1187,La cordillera,8,29-09-2017,Drama,Santiago Mitre,"Dolores Fonzi, Elena Anaya, Erica Rivas, Ricardo Darín","Mariano Llinás, Santiago Mitre","Argentina, España, Francia",114 min.,,Warner Bros.,29 de Septiembre de 2017
1188,La llamada,6,29-09-2017,"Comedia, Musical","Javier Ambrossi, Javier Calvo","Anna Castillo, Belén Cuesta, Macarena García","Javier Ambrossi, Javier Calvo",España,,,DeaPlaneta,29 de Septiembre de 2017
1189,madre!,8,29-09-2017,"Drama, Misterio, Terror",Darren Aronofsky,"Ed Harris, Javier Bardem, Jennifer Lawrence",Darren Aronofsky,EE UU,115 min.,,Paramount Pictures Spain,29 de Septiembre de 2017
1190,Operación Concha,4,29-09-2017,Comedia,Antonio Cuadri,"Jordi Mollà, karra elejalde, Unax Ugalde",Patxo Tellería,España,,,Filmax,29 de Septiembre de 2017
1191,Converso,9,29-09-2017,Documental,David Arratibel,,David Arratibel,España,91 min.,,Márgenes,29 de Septiembre de 2017
1192,The King of Rock And Roll,6,29-09-2017,Documental,Iván Muñiz,,,España,60 min.,,Silver and Gold,29 de Septiembre de 2017
1193,Bye Bye Germany,6,22-09-2017,"Bélica, Comedia",Sam Garbarski,"Antje Traue, Moritz Bleibtreu, Tim Seyfi",Michel Bergmann,"Alemania, Luxemburgo, Bélgica",102 min.,,Festival Films,22 de Septiembre de 2017
1194,Kingsman: El círculo de oro,9,22-09-2017,"Acción, Aventura, Comedia",Matthew Vaughn,"Channing Tatum, Colin Firth, Julianne Moore, Mark Strong, Taron Egerton","Jane Goldman, Matthew Vaughn","Reino Unido, EE UU",,,Fox España,22 de Septiembre de 2017
1195,La historia del amor,4,22-09-2017,"Bélica, Drama, Romance",Radu Mihaileanu,"Derek Jacobi, Elliott Gould, Gemma Arterton",Radu Mihaileanu,"Francia, Canadá, Rumania, EE UU",134 min.,,Vértigo Films,22 de Septiembre de 2017
1196,La Lego Ninjago Película,7,22-09-2017,"Acción, Animación, Aventura","Bob Logan, Paul Fisher","Justin Theroux, Kumail Nanjiani, Olivia Munn","Bob Logan, Hilary Winston, Paul Fisher","EE UU, Dinamarca",,,Warner Bros.,22 de Septiembre de 2017
1197,La reina Victoria y Abdul,6,22-09-2017,"Biografía, Drama, Histórica",Stephen Frears,"Judi Dench, Michael Gambon, Olivia Williams",Lee Hall,"EE UU, Reino Unido",106 min.,,Universal Pictures,22 de Septiembre de 2017
1198,A War (Una guerra),7,22-09-2017,"Crimen, Drama",Tobias Lindholm,"Pilou Asbæk, Søren Malling, Tuva Novotny",Tobias Lindholm,Dinamarca,115 min.,,Abordar Distribución,22 de Septiembre de 2017
1199,Porto,10,20-09-2017,Drama,Gabe Klinger,"Anton Yelchin, Lucie Lucas",Larry Gross,,,,,20 de Septiembre de 2017
1200,Jacques,6,15-09-2017,"Aventura, Biografía",Jérôme Salle,"Audrey Tautou, Lambert Wilson","Jérôme Salle, Laurent Turner",Francia,122 min.,,VerCine,15 de Septiembre de 2017
1201,Ali & Nino,5,15-09-2017,"Drama, Romance",Asif Kapadia,"Adam Bakri, Mandy Patinkin, María Valverde",Christopher Hampton,"Azerbaiyán, Reino Unido",100 min.,,BTeam Pictures,15 de Septiembre de 2017
1202,Detroit,8,15-09-2017,"Crimen, Drama",Kathryn Bigelow,"Algee Smith, Anthony Mackie, John Boyega",Mark Boal,EE UU,143 min.,,EOne Films Spain,15 de Septiembre de 2017
1203,Hotel Cambridge,8,15-09-2017,Drama,Eliane Caffé,"Isam Ahmad Issa, Juliane Arguello, Paulo Américo","Eliane Caffé, Inês Figueiró, Luis Alberto de Abreu","Brasil, Francia, España",99 min.,,Wanda Visión,15 de Septiembre de 2017
1204,Alibi.com (Agencia de engaños),6,15-09-2017,Comedia,Philippe Lacheau,"Élodie Fontan, Julien Arruti, Philippe Lacheau","Julien Arruti, Philippe Lacheau, Pierre Dudan",Francia,90 min.,,Vértigo Films España,15 de Septiembre de 2017
1205,Camina conmigo,7,15-09-2017,Documental,"Marc J. Francis, Max Pugh",benedict cumberbatch,"Marc J. Francis, Max Pugh",Reino Unido,88 min.,,Karma Films,15 de Septiembre de 2017
1206,Juerga de mamis,5,15-09-2017,Comedia,Alethea Jones,"Bridget Everett, Katie Aselton, Toni Collette",Julie Rudd,EE UU,89 min.,,DeaPlaneta,15 de Septiembre de 2017
1207,La región salvaje,8,15-09-2017,"Ciencia-ficción, Drama",Amat Escalante,"Fernando Corona, Kenny Johnston, Simone Bucio","Amat Escalante, Gibrán Portela","México, Francia, Alemania",98 min.,,Noucinemart,15 de Septiembre de 2017
1208,La casa de verano,8,15-09-2017,"Comedia, Drama",Valeria Bruni Tedeschi,"Laurent Stocker, Noémie Lvovsky, Pierre Arditi, Valeria Bruni Tedeschi, Valeria Golino, Yolande Moreau","Agnès de Sacy, Caroline Deruas-Garrel, Noémie Lvovsky, Valeria Bruni Tedeschi",Francia,125 min.,,Avalon Distribución,15 de Septiembre de 2017
1209,It,7,08-09-2017,"Drama, Terror",Andy Muschietti,"Bill Skarsgård, Finn Wolfhard, Jaeden Lieberher","Cary Fukunaga, Chase Palmer, Gary Dauberman",EE UU,135 min.,,Warner Bros.,08 de Septiembre de 2017
1210,Churchill,5,08-09-2017,"Biografía, Drama, Thriller",Jonathan Teplitzky,"Brian Cox, John Slattery, Miranda Richardson",Alex von Tunzelmann,Reino Unido,105 min.,,A Contracorriente Films,08 de Septiembre de 2017
1211,El amante doble,7,08-09-2017,Drama,François Ozon,"Jacqueline Bisset, Jérémie Renier, Marine Vacth",François Ozon,"Francia, Bélgica",107 min.,,Golem Distribución,08 de Septiembre de 2017
1212,La escala,6,08-09-2017,Drama,"Delphine Coulin, Muriel Coulin","Ariane Labed, Ginger Romàn, Soko","Delphine Coulin, Muriel Coulin","Francia, Grecia",102 min.,,Pirámide Films,08 de Septiembre de 2017
1213,The Limehouse Golem,7,08-09-2017,"Terror, Thriller",Juan Carlos Medina,"Bill Nighy, María Valverde, Olivia Cooke, Sam Reid",Jane Goldman,Reino Unido,109 min.,,Alfa Pictures,08 de Septiembre de 2017
